שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
NA,אחר:,סיעוד,משרדי הממשלה (כללי)
NA,אחר:,סיעוד,פוליטיקאים (כללי)
NA,אחר:,שיקום,NA
NA,אשכול רשויות,אחר:,NA
NA,גרונטולוג,,NA
NA,גרונטולוג,NA,NA
NA,גרונטולוג,NA,אגף הגריאטריה במשרד הבריאות
NA,גרונטולוג,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,Caregivers Israel
NA,גרונטולוג,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
NA,גרונטולוג,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
NA,גרונטולוג,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,עמותת עמדא
NA,גרונטולוג,אחר:,NA
NA,גרונטולוג,אחר:,אגף הגריאטריה במשרד הבריאות
NA,גרונטולוג,גילנות,NA
NA,גרונטולוג,גילנות,"ארגון ""יד שרה"""
NA,גרונטולוג,גילנות,האגודה הישראלית לגרונטולוגיה
NA,גרונטולוג,גילנות,האזרחים הוותיקים (כללי)
NA,גרונטולוג,גילנות,המשרד לשוויון חברתי
NA,גרונטולוג,הפגת בדידות,NA
NA,גרונטולוג,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
NA,גרונטולוג,נגישות לשירותים,המשרד לשוויון חברתי
NA,גרונטולוג,נגישות לשירותים,פרופסור איסי דורון
NA,גרונטולוג,נגישות לשירותים,פרופסור יצחק בריק
NA,גרונטולוג,סיעוד,NA
NA,גרונטולוג,סיעוד,אגף הגריאטריה במשרד הבריאות
NA,גרונטולוג,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
NA,"הקליניקה לזכויות זקנים וניצולי שואה, הפקולטה למשפטים, אונ' בר-אילן",אחר:,NA
NA,חברה מסחרית - בתי אבות,NA,NA
NA,חברה מסחרית - בתי אבות,NA,אגף הגריאטריה במשרד הבריאות
NA,חברה מסחרית - בתי אבות,אחר:,NA
NA,חברה מסחרית - בתי אבות,אחר:,אגף הגריאטריה במשרד הבריאות
NA,חברה מסחרית - בתי אבות,אחר:,הרשויות המקומיות (כללי)
NA,חברה מסחרית - בתי אבות,אחר:,לא יודע
NA,חברה מסחרית - בתי אבות,ירידה קוגנטיבית ודמנציה,NA
NA,חברה מסחרית - בתי אבות,ירידה קוגנטיבית ודמנציה,אגף הגריאטריה במשרד הבריאות
NA,חברה מסחרית - בתי אבות,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,א.ב.א - איגוד בתי אבות ודיור מוגן בישראל
NA,חברה מסחרית - בתי אבות,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
NA,חברה מסחרית - בתי אבות,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,מנהלי בתי אבות (כללי)
NA,חברה מסחרית - בתי אבות,סיעוד,NA
NA,חברה מסחרית - בתי אבות,סיעוד,אגף הגריאטריה במשרד הבריאות
NA,חברה מסחרית - בתי אבות,סיעוד,"ד""ר דנה פאר"
NA,חברה מסחרית - בתי אבות,סיעוד,עמותת עמדא
NA,חברה מסחרית - בתי אבות,שיקום,NA
NA,חברה מסחרית - בתי אבות,שיקום,ג'וינט אשל
NA,חברה מסחרית - חברת ביטוח,נגישות לשירותים,NA
NA,חברה מסחרית - תחום עסקי אחר,NA,NA
NA,חברה מסחרית - תחום עסקי אחר,אחר:,NA
NA,חברה מסחרית - תחום עסקי אחר,הפגת בדידות,NA
NA,חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,NA
NA,חברה מסחרית - תחום עסקי אחר,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
NA,חברה מסחרית - תחום עסקי אחר,סיעוד,NA
NA,חברה מסחרית - תחום עסקי אחר,סיעוד,המשרד לשוויון חברתי
NA,חברה מסחרית - תחום עסקי אחר,סיעוד,עמותת לתת
NA,חברה מסחרית - תחום עסקי אחר,סיעוד,עמותת עזר מציון
NA,יועצת גרונטולוגית,אחר:,NA
NA,יועצת גרונטולוגית,אחר:,אגף הגריאטריה במשרד הבריאות
NA,יזם,NA,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",NA,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,אופיר בן נתן (ג'וינט אשל)
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,מיכל הלפרין בן צבי
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,מוטק'ה
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,שרון שילוח - אתר-גיל השלישי
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",גילנות,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",גילנות,אגף הגריאטריה במשרד הבריאות
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ירידה קוגנטיבית ודמנציה,האגודה הישראלית לגרונטולוגיה
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",מניעת נפילות,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול פיננסי/אוריינות פיננסית,מיכל פעילן (חדשות 12)
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול פיננסי/אוריינות פיננסית,"מירב כהן, השרה לשוויון חברתי"
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול פיננסי/אוריינות פיננסית,עמותות (כללי)
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,עובדות סוציאליות (כללי)
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,NA
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,ג'וינט אשל
NA,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,שיתופים
NA,יזם פרטי,שיקום,NA
NA,ייעוץ גרונטולוגי וניהול טיפול,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,Caregivers Israel
NA,ייעוץ גרונטולוגי וניהול טיפול,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
NA,ייעוץ גרונטולוגי וניהול טיפול,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,עמותת עמדא
NA,יעוץ למשקיעים בדיור המוגן ומחלקות גריאטריות,סיעוד,גופים פרטיים (כללי)
NA,יעוץ למשקיעים בדיור המוגן ומחלקות גריאטריות,סיעוד,משרדי הממשלה (כללי)
NA,יעוץ למשקיעים בדיור המוגן ומחלקות גריאטריות,סיעוד,פוליטיקאים (כללי)
NA,מאמנת כושר לגיל השלישי,,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",NA,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",NA,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,משרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,קופות החולים (כללי)
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אוריינות דיגיטלית,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,המגזר העסקי (כללי)
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,יזמים עצמאיים בתחום (כללי)
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,פוליטיקאים (כללי)
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,ג'וינט אשל
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",ירידה קוגנטיבית ודמנציה,האגודה הישראלית לגרונטולוגיה
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",מניעת נפילות,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,המשרד לשוויון חברתי
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,עמותות (כללי)
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,אגף הגריאטריה במשרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,ג'וינט אשל
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,הלב – איגוד העמותות לזקן בישראל
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,משרד הבריאות
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,משרד העבודה והרווחה
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",סיעוד,עמותת עמדא
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,NA
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,ג'וינט אשל
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,המשרד לשוויון חברתי
NA,"מגזר שלישי (עמותה רשומה/חל""צ)",תעסוקה,קולקטיב אימפקט (שיתופים)
NA,מועדון יום לחולי דמנציה,ירידה קוגנטיבית ודמנציה,NA
NA,מכון אקדמי/מחקר,NA,NA
NA,מכון אקדמי/מחקר,NA,אגף הגריאטריה במשרד הבריאות
NA,מכון אקדמי/מחקר,אחר:,NA
NA,מכון אקדמי/מחקר,אחר:,אגף הגריאטריה במשרד הבריאות
NA,מכון אקדמי/מחקר,הפגת בדידות,המשרד לשוויון חברתי
NA,מכון אקדמי/מחקר,הפגת בדידות,הרשויות המקומיות (כללי)
NA,מכון אקדמי/מחקר,הפגת בדידות,משרד העבודה והרווחה
NA,מכון אקדמי/מחקר,נגישות לשירותים,NA
NA,מכון אקדמי/מחקר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
NA,מכון אקדמי/מחקר,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
NA,מכון אקדמי/מחקר,תעסוקה,NA
NA,מכון אקדמי/מחקר,תעסוקה,ג'וינט אשל
NA,מכון אקדמי/מחקר,תעסוקה,המשרד לשוויון חברתי
NA,מכון מחק3 שעוסק בזקנה,אחר:,NA
NA,מנהלת קהילת AgingIL אקוסיסטם - תמיכה באקוסיסטם לשעבר,NA,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),NA,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),NA,אגף הגריאטריה במשרד הבריאות
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,המוסד לביטוח לאומי
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,עמותת עמדא
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,אגף הגריאטריה במשרד הבריאות
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),מניעת נפילות,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),מניעת נפילות,אגף הגריאטריה במשרד הבריאות
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),סיעוד,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,NA
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,אגף הגריאטריה במשרד הבריאות
NA,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,אוניברסיטת חיפה
